Year,Path_Type,Market_Leverage_Score,Milestone_Note
1,Traditional Track,1.0,Starting CA Foundation / B.Com syllabus
2,Traditional Track,1.5,Rote learning local tax laws and audit formats
3,Traditional Track,2.2,Articleship phase - High clerical grind for very low stipend
4,Traditional Track,4.5,Graduation/CA Clear - Stable entry-level corporate role
5,Traditional Track,5.0,Handling standard corporate tax filings
6,Traditional Track,5.2,Minor title promotion - High internal competition
7,Traditional Track,5.5,Moving to a local competitor for standard increment
8,Traditional Track,5.8,Senior internal auditor - Growth starts to slow down
9,Traditional Track,6.0,Facing corporate ceiling - Skills are highly standardized
10,Traditional Track,6.2,Comfortable middle-class stability with a hard income cap
1,Modern Track,1.5,B.Com/Econ Start - Adding Advanced Statistics + Python
2,Modern Track,2.5,Building financial predictive models + Learning FinTech law
3,Modern Track,4.0,Securing global remote equity research internship
4,Modern Track,6.0,Graduation - Entry-level Quant/Analyst role at global firm
5,Modern Track,6.8,Language/Tech premiums kick in - Structuring cross-border deals
6,Modern Track,7.5,Promoted to Mid-Level Deal Architect / Portfolio Manager
7,Modern Track,8.2,High-leverage lateral shift - Massive performance bonuses
8,Modern Track,9.0,Managing specialized venture funds or high-frequency algos
9,Modern Track,9.5,Complete market monopoly - Elite financial consultant
10,Modern Track,10.0,Absolute geographical and financial autonomy reached