Stream,Career_Path,Historical_Avg_Salary_INR,Current_Avg_Salary_INR,Projected_Future_Salary_INR,Estimated_Annual_Aspirants,Estimated_Active_Professionals,Market_Saturation_Status
PCB,General Physician (MBBS),360000,900000,1500000,1200000,1400000,Under-saturated / High Demand
PCB,Specialist Doctor (MD/MS),600000,1800000,3000000,100000,350000,Highly Under-saturated
PCB,Dentist (BDS),240000,450000,700000,300000,280000,Highly Saturated
PCB,Pharmacist (B.Pharm),180000,350000,550000,250000,600000,Saturated
PCB,Registered Nurse (B.Sc),150000,320000,500000,400000,1800000,Balanced Demand
PCB,Veterinarian (BVSc),200000,550000,850000,500000,750000,Under-saturated
PCB,Physiotherapist (BPT),180000,400000,650000,800000,120000,Balanced Demand
PCB,Medical Lab Technologist,120000,280000,420000,150000,500000,Saturated
PCB,Research Scientist (Microbiology),250000,600000,950000,90000,110000,Balanced Demand
PCB,Biotechnologist,220000,500000,800000,120000,150000,Saturated / Low Local Core Jobs
PCB,Ayurvedic Doctor (BAMS),180000,420000,680000,150000,400000,Balanced / Growing Demand
PCB,Homeopathic Doctor (BHMS),150000,380000,550000,100000,300000,Saturated
PCM,Mechanical Engineer,280000,550000,800000,350000,1200000,Highly Saturated
PCM,Civil Engineer,250000,500000,750000,400000,1500000,Highly Saturated
PCM,Electrical Engineer,280000,580000,850000,300000,1000000,Saturated
PCM,Chemical Engineer,320000,650000,1000000,80000,250000,Balanced Demand
PCM,Software Engineer (Core CS),360000,850000,1400000,800000,4500000,Highly Saturated at Entry Level
PCM,Aerospace Engineer,400000,800000,1300000,40000,60000,Under-saturated / Niche
PCM,Architect (B.Arch),240000,520000,800000,100000,250000,Saturated
PCM,Commercial Pilot,800000,2400000,3600000,15000,25000,Under-saturated / High Cost Barrier
PCM,Merchant Navy Officer,450000,1200000,1800000,40000,80000,Balanced Demand
PCM,Actuary / Statistician,350000,950000,1600000,20000,50000,Under-saturated
PCM,Production / Industrial Engineer,240000,480000,700000,80000,350000,Saturated
PCM,Geologist / Earth Scientist,300000,700000,1050000,15000,45000,Balanced Demand
PCMB,Biomedical Engineer,240000,500000,850000,50000,90000,Balanced Demand
PCM,Defense Services (Technical Entry),300000,800000,1200000,500000,60000,Highly Competitive / Under-staffed
PCM,Astrophysicist / Space Scientist,350000,750000,1200000,25000,15000,Niche / Low Openings
PCB,Nutritionist / Dietitian,140000,350000,550000,70000,110000,Balanced Demand
PCM,Automobile Engineer,260000,520000,780000,120000,400000,Saturated
PCB,Audiologist / Speech Therapist,180000,450000,720000,15000,35000,Under-saturated